creative_id,concept_id,hook_id,language,format,opening_variant,property_ref,source_asset,ai_used,ai_label,meta_ad_id,adset_id,campaign_id,utm_content,status,impressions,hook_rate,hold_rate,ctr,cost_per_lp_view,cpl,qual_leads,cost_per_qual_lead,decision,decided_at,confidence,notes
C1-PT-9x16-reveal-v1,C1,BR-02,PT,9x16-reveal,reveal,bitupita-projeto,hf:346c7142-0cf5-45d1-8d25-13efed327b56,TRUE,Projeção 3D,,,,C1-PT-9x16-reveal-v1,draft,,,,,,,,,,,,"Render v1 (design) a partir de /bitupita.JPG."
C1-PT-static-reveal-v2,C1,BR-02,PT,static-reveal,reveal,bitupita-projeto,hf:6ec22c38-2c2b-4fc1-83f3-ce2d1486c644,TRUE,Projeção 3D,,,,C1-PT-static-reveal-v2,draft,,,,,,,,,,,,"Render v2 RÚSTICA-CHIQUE na foto real do fundador (frente-mar). Pareie com a foto real."
C2-EN-static-WSE02,C2,WSE-02,EN,static,hook,prea-house,real-photo,FALSE,,,,,C2-EN-static-WSE02,draft,,,,,,,,,,,,"Copy em copy.csv. Só foto real Preá House."
C2-PT-static-WSE02,C2,WSE-02,PT,static,hook,prea-house,real-photo,FALSE,,,,,C2-PT-static-WSE02,draft,,,,,,,,,,,,"Copy em copy.csv."
C2-ES-static-WSE02,C2,WSE-02,ES-ES,static,hook,prea-house,real-photo,FALSE,,,,,C2-ES-static-WSE02,draft,,,,,,,,,,,,"Copy em copy.csv."
C2-EN-founderscript-CULT01,C2,CULT-01,EN,founder-video-script,founder,prea-house,founder-shoot,FALSE,,,,,C2-EN-founderscript-CULT01,draft,,,,,,,,,,,,"Roteiro no deck. Fundador grava (sem IA)."
C3-EN-static-GV01,C3,GV-01,EN,static,hook,terreno-exclusivo-tatajuba-1000m,real-land-photo,FALSE,,,,,C3-EN-static-GV01,draft,,,,,,,,,,,,"Sem 3D. Golden Visa/RN36."
C3-PT-static-GV04,C3,GV-04,PT,static,hook,terreno-exclusivo-tatajuba-1000m,real-land-photo,FALSE,,,,,C3-PT-static-GV04,draft,,,,,,,,,,,,"Sem 3D."
C3-ES-static-GV03,C3,GV-03,ES-ES,static,hook,terreno-exclusivo-tatajuba-1000m,real-land-photo,FALSE,,,,,C3-ES-static-GV03,draft,,,,,,,,,,,,"Sem 3D."
C3-PT-static-MACRO01,C3,MACRO-01,PT,static,hook,terreno-exclusivo-tatajuba-1000m,real-land-photo,FALSE,,,,,C3-PT-static-MACRO01,draft,,,,,,,,,,,,"Tese macro, sem promessa de retorno."
C4-AR-static-HEDGE03,C4,AR-HEDGE-03,ES-AR,static,hook,terreno-exclusivo-tatajuba-1000m,real-land-photo,FALSE,,,,,C4-AR-static-HEDGE03,draft,,,,,,,,,,,,"Voseo."
C4-AR-static-HEDGE01,C4,AR-HEDGE-01,ES-AR,static,hook,terreno-exclusivo-tatajuba-1000m,real-land-photo,FALSE,,,,,C4-AR-static-HEDGE01,draft,,,,,,,,,,,,"Voseo. Compra por estrangeiro."
C4-AR-founderscript-CULT02,C4,CULT-02,ES-AR,founder-video-script,founder,terreno-exclusivo-tatajuba-1000m,founder-shoot,FALSE,,,,,C4-AR-founderscript-CULT02,draft,,,,,,,,,,,,"Roteiro voseo no deck."
AW-EN-script-WING01,AWARENESS,EU-WING-01,EN,lifestyle-video-script,broll,,lifestyle-broll,FALSE,,,,,AW-EN-script-WING01,draft,,,,,,,,,,,,"Topo de funil. Sem preço. Alimenta Pixel."
AW-PT-static-WING02,AWARENESS,EU-WING-02,PT,static,broll,,lifestyle-broll,FALSE,,,,,AW-PT-static-WING02,draft,,,,,,,,,,,,"Topo de funil. Sem preço."
AW-ES-static-WING01,AWARENESS,EU-WING-01,ES-ES,static,broll,,lifestyle-broll,FALSE,,,,,AW-ES-static-WING01,draft,,,,,,,,,,,,"Topo de funil. Sem preço."
